CFHTLS,Conf,Feat,ra,dec,zph,r'Mag,M*,g'-r',R/B
W3-456,0,,219.263992,54.685173,0.131,-22.18,10.95,0.596,R
W3-457,2,,218.389389,54.780766,0.088,-21.24,10.21,0.272,B
W3-459,0,,219.811752,54.827934,0.086,-21.13,10.21,0.311,B
W3-460,1,,218.899323,54.828564,0.132,-22.11,10.63,0.331,B
W3-461,0,,218.506485,54.834026,0.18,-22.88,11.27,0.627,R
W3-463,0,,219.805649,54.968014,0.15,-22.76,11.18,0.597,R
W3-464,0,,210.33136,55.086922,0.15,-22.41,11.1,0.647,R
W3-465,4,A,209.117859,55.166359,0.061,-20.7,10.34,0.584,R
W3-466,0,,208.867874,55.207722,0.089,-21.74,10.43,0.287,B
W3-467,0,,209.150513,55.19239,0.18,-23.49,11.49,0.609,R
W3-468,0,,209.286758,55.189678,0.098,-21.52,10.73,0.633,R
W3-469,0,,209.198685,55.206921,0.104,-22.21,10.68,0.343,B
W3-470,4,"A,F",208.849335,55.202705,0.15,-22.45,11.09,0.624,R
W3-471,3,H,209.529312,55.2831,0.151,-22.45,11.09,0.628,R
W3-472,4,"S,M",209.949463,55.300571,0.15,-22.72,11.19,0.618,R
W3-473,0,,210.409256,55.308182,0.071,-20.65,10.31,0.576,R
W3-474,0,,209.671936,55.323101,0.15,-22.4,11.04,0.601,R
W3-475,2,,209.368576,55.355038,0.18,-23.01,11.32,0.633,R
W3-476,0,,209.914551,55.443405,0.099,-21.79,10.78,0.584,R
W3-477,0,,209.967835,55.465286,0.074,-21.07,10.15,0.28,B
W3-478,0,,209.539413,55.540852,0.123,-21.92,10.86,0.609,R
W3-479,0,,210.242447,55.5681,0.097,-22.35,10.75,0.358,B
W3-480,0,,210.228546,55.61964,0.15,-22.78,11.24,0.643,R
W3-481,3,"F,S",209.144775,55.667687,0.161,-22.67,11.15,0.598,R
W3-482,4,A,208.942078,55.675217,0.137,-22.86,11.25,0.62,R
W3-483,1,,209.868133,55.707054,0.155,-22.31,10.49,0.135,B
W3-484,0,,210.153564,55.725655,0.1,-21.8,10.44,0.276,B
W3-485,0,,208.981293,55.760666,0.15,-22.85,11.29,0.663,R
W3-486,0,,209.032471,55.815609,0.139,-22.63,10.82,0.318,B
W3-487,0,,210.151413,55.871018,0.177,-22.99,11.22,0.547,R
W3-488,0,,209.957382,55.894707,0.08,-21.14,10.27,0.361,B
W3-489,0,,210.65799,55.0238,0.126,-22.11,10.87,0.544,R
W3-491,1,,211.729599,55.213062,0.099,-21.48,10.66,0.587,R
W3-493,3,"S,L",212.003998,55.258217,0.15,-22.43,11.05,0.597,R
W3-494,0,,211.91478,55.23312,0.063,-20.35,10.22,0.597,R
W3-495,0,,211.885681,55.239986,0.15,-22.6,11.16,0.634,R
W3-496,4,S,211.766403,55.260757,0.119,-22.26,11.01,0.624,R
W3-497,0,,210.710159,55.411366,0.075,-20.87,10.04,0.25,B
W3-499,0,,211.756836,55.519615,0.141,-22.58,10.95,0.454,B
W3-500,0,,211.220612,55.677914,0.07,-21.2,10.23,0.298,B
W3-501,0,,210.64418,55.676636,0.18,-22.98,11.34,0.655,R
W3-502,0,,210.766708,55.708042,0.151,-23.3,11.21,0.428,B
W3-503,0,,211.279007,55.70084,0.129,-22.05,10.7,0.418,B
W3-504,0,,212.457245,55.016281,0.099,-21.38,10.45,0.43,B
W3-505,1,,213.535523,55.010467,0.18,-23.4,11.46,0.618,R
W3-506,0,,213.651459,55.062466,0.144,-22.7,11.18,0.617,R
W3-507,4,H,212.971497,55.109039,0.17,-23.3,11.24,0.454,B
W3-508,4,A,212.272369,55.151615,0.179,-23.23,11.41,0.629,R
W3-510,0,,212.636581,55.182625,0.143,-22.47,10.6,0.181,B
W3-511,0,,213.037079,55.228241,0.087,-21.59,10.46,0.372,B
W3-515,2,,212.177032,55.240601,0.161,-22.72,11.23,0.651,R
W3-516,0,,212.103363,55.336563,0.179,-22.92,11.27,0.623,R
W3-518,2,,212.773422,55.386803,0.092,-21.25,10.31,0.356,B
W3-520,0,,212.164017,55.466053,0.098,-21.66,10.8,0.646,R
W3-521,0,,212.243622,55.495552,0.12,-22.05,10.94,0.632,R
W3-522,0,,213.572845,55.513,0.102,-21.85,10.74,0.532,R
W3-525,0,,212.165024,55.578022,0.12,-21.9,10.88,0.633,R
W3-526,0,,212.204559,55.637169,0.145,-22.66,11.15,0.602,R
W3-527,0,,212.408783,55.647339,0.12,-22.24,11.01,0.629,R
W3-528,0,,213.480987,55.719357,0.134,-22.15,10.81,0.483,B
W3-529,1,,212.920792,55.796898,0.15,-22.43,11.1,0.638,R
W3-531,0,,214.848144,55.011856,0.197,-23.18,11.38,0.62,R
W3-532,3,A,214.639572,55.147488,0.164,-23.18,10.86,0.157,B
W3-533,0,,215.250748,55.175194,0.077,-20.87,10.43,0.603,R
W3-534,4,"A,F",214.332459,55.219215,0.15,-22.44,11.11,0.643,R
W3-535,1,,214.00032,55.364109,0.094,-21.87,10.75,0.526,R
W3-536,0,,214.619461,55.4571,0.09,-21.31,10.63,0.62,R
W3-537,0,,214.895447,55.458962,0.15,-22.63,11.17,0.636,R
W3-538,0,,214.146668,55.48151,0.149,-23.04,11.07,0.396,B
W3-539,0,,214.176209,55.515049,0.186,-23.45,11.51,0.642,R
W3-540,1,,213.738373,55.633755,0.18,-23.35,11.46,0.631,R
W3-541,0,,214.241287,55.66687,0.146,-22.8,11.05,0.467,B
W3-542,4,S,214.520798,55.678165,0.064,-20.65,10.38,0.628,R
W3-544,0,,215.049591,55.774597,0.073,-20.69,10.04,0.318,B
W3-546,2,,215.381638,55.046955,0.129,-21.96,10.67,0.428,B
W3-547,0,,216.28595,55.138115,0.109,-21.62,10.6,0.485,B
W3-548,0,,216.575806,55.157219,0.078,-21.06,10.2,0.326,B
W3-549,0,,215.944,55.206379,0.074,-20.84,10.16,0.373,B
W3-550,0,,216.789215,55.233643,0.106,-21.56,10.73,0.624,R
W3-551,0,,216.543793,55.242374,0.179,-22.99,11.28,0.601,R
W3-552,3,F,216.599075,55.301342,0.15,-23.06,11.38,0.668,R
W3-553,0,,216.530151,55.328838,0.15,-22.56,11.18,0.663,R
W3-554,0,,216.564621,55.329418,0.166,-22.87,11.26,0.629,R
W3-555,0,,215.41182,55.340649,0.153,-22.68,11.2,0.641,R
W3-557,0,,216.597214,55.475098,0.171,-22.74,11.14,0.57,R
W3-558,0,,216.173843,55.503174,0.116,-21.73,10.65,0.489,B
W3-559,0,,216.666977,55.48803,0.18,-23.29,11.49,0.68,R
W3-560,0,,215.668274,55.547287,0.096,-21.51,10.46,0.398,B
W3-562,4,A,215.971954,55.667068,0.144,-22.46,10.82,0.383,B
W3-567,0,,216.08812,55.742367,0.156,-22.64,10.99,0.464,B
W3-568,1,,215.316116,55.757687,0.153,-22.72,11.23,0.657,R
W3-570,0,,215.538773,55.783234,0.097,-21.42,10.62,0.576,R
W3-571,0,,216.254273,55.781845,0.15,-22.58,11.17,0.648,R
W3-572,0,,215.4599,55.787472,0.18,-23.06,11.34,0.634,R
W3-573,3,L,216.859817,55.819546,0.15,-22.76,11.28,0.681,R
W3-574,2,,218.069809,55.006325,0.093,-21.69,10.77,0.607,R
W3-575,0,,217.332565,55.111221,0.122,-21.9,10.66,0.436,B
W3-576,0,,217.144577,55.096451,0.061,-20.41,10.25,0.606,R
W3-577,0,,218.196899,55.141067,0.102,-21.76,10.72,0.542,R
W3-578,2,,217.71904,55.205998,0.065,-20.82,10.41,0.602,R
W3-579,0,,217.268326,55.203339,0.169,-22.71,11.07,0.511,B
W3-580,2,,216.971985,55.221546,0.18,-22.88,11.25,0.613,R
W3-581,4,F,217.708466,55.263634,0.11,-22.33,11.02,0.608,R
W3-582,0,,217.088425,55.367073,0.122,-22.16,10.76,0.435,B
W3-583,0,,217.400818,55.401341,0.136,-22.25,10.98,0.599,R
W3-584,2,,217.857559,55.443459,0.123,-21.9,10.88,0.63,R
W3-585,0,,217.22464,55.453125,0.149,-22.61,11.14,0.609,R
W3-586,4,M,218.006836,55.493298,0.18,-23.22,11.42,0.642,R
W3-587,4,"S,A",217.36026,55.495979,0.18,-22.93,11.04,0.407,B
W3-589,0,,218.290146,55.541634,0.121,-22.44,11.1,0.637,R
W3-590,1,,218.291901,55.587231,0.148,-22.54,10.88,0.407,B
W3-592,0,,216.948181,55.633583,0.12,-22.04,10.91,0.612,R
W3-593,4,S,217.084778,55.66544,0.056,-20.65,10.32,0.579,R
W3-594,0,,217.454666,55.720551,0.152,-22.99,11.29,0.608,R
W3-595,0,,217.469406,55.769699,0.089,-21.06,10.08,0.221,B
W3-596,0,,216.872879,55.77393,0.157,-22.53,11.14,0.641,R
W3-597,0,,216.878876,55.794086,0.123,-22.15,10.96,0.62,R
W3-599,0,,216.939438,55.877148,0.18,-23.26,11.41,0.619,R
W3-600,0,,218.79454,55.063026,0.18,-23.82,11.63,0.617,R
W3-601,0,,218.540436,55.071095,0.119,-22.17,10.93,0.583,R
W3-602,1,,219.232437,55.133591,0.15,-23.15,11.39,0.642,R
W3-603,4,L,218.9104,55.135887,0.167,-22.83,11.22,0.606,R
W3-604,0,,218.912674,55.177967,0.18,-23.18,11.37,0.613,R
W3-605,2,,218.7603,55.196377,0.18,-23.08,11.33,0.615,R
W3-606,4,A,219.974533,55.275673,0.178,-23.04,11.07,0.395,B
W3-607,0,,219.90799,55.443043,0.121,-22.08,10.71,0.417,B
W3-608,1,,218.969315,55.527519,0.123,-22.0,10.95,0.662,R
W3-609,2,,219.791962,55.544693,0.12,-22.32,11.04,0.622,R
W3-610,0,,219.654495,55.535358,0.144,-22.49,10.82,0.368,B
W3-611,1,,218.969696,55.545967,0.18,-22.92,11.27,0.616,R
W3-612,0,,218.528275,55.61673,0.072,-20.8,10.08,0.31,B
W3-613,0,,219.805328,55.614353,0.15,-22.42,11.09,0.639,R
W3-614,0,,218.97995,55.665669,0.081,-21.59,10.44,0.354,B
W3-615,1,,219.819595,55.650024,0.067,-20.87,10.45,0.617,R
W3-619,0,,219.340424,55.889736,0.147,-22.56,10.96,0.467,B
W3-620,0,,210.353577,55.911888,0.19,-23.46,11.01,0.186,B
W3-621,0,,210.232269,55.932606,0.15,-22.54,11.12,0.618,R
W3-623,0,,209.687424,56.022244,0.103,-21.49,10.47,0.42,B
W3-625,0,,209.836807,56.18697,0.133,-22.29,10.85,0.467,B
W3-626,3,"A,L",209.451737,56.228241,0.095,-21.52,10.68,0.59,R
W3-627,1,,209.696625,56.284565,0.12,-22.16,10.99,0.636,R
W3-629,0,,210.268295,56.421101,0.117,-22.12,10.6,0.305,B
W3-630,0,,209.432343,56.459686,0.158,-22.76,11.22,0.628,R
W3-631,0,,209.550644,56.482079,0.162,-22.83,11.25,0.633,R
W3-632,0,,208.925186,56.502041,0.159,-22.79,11.18,0.583,R
W3-633,4,F,208.876404,56.619949,0.18,-23.39,11.49,0.642,R
W3-634,0,,210.223602,56.753967,0.171,-23.06,11.11,0.428,B
W3-636,1,,210.215408,56.839241,0.119,-21.99,10.9,0.615,R
W3-637,0,,211.532867,55.968048,0.118,-21.72,10.43,0.297,B
W3-639,0,,211.556915,56.020981,0.127,-22.13,10.53,0.24,B
W3-640,0,,211.628494,56.045727,0.121,-21.99,10.5,0.26,B
W3-641,0,,211.614914,56.141468,0.12,-22.57,11.13,0.613,R
W3-643,0,,211.274994,56.129696,0.164,-23.04,11.12,0.444,B
W3-644,0,,211.259674,56.126534,0.081,-20.89,10.11,0.304,B
W3-645,1,,211.644089,56.132023,0.18,-23.58,11.51,0.6,R
W3-646,0,,211.111725,56.174515,0.125,-21.95,10.82,0.566,R
W3-647,1,,211.592117,56.183678,0.093,-21.9,10.77,0.539,R
W3-648,0,,211.492737,56.218418,0.079,-21.28,10.44,0.461,B
W3-649,0,,210.88945,56.217407,0.155,-22.64,10.78,0.277,B
W3-651,0,,211.071655,56.348755,0.112,-21.86,10.6,0.398,B
W3-653,1,,211.85672,56.379898,0.187,-23.31,11.41,0.605,R
W3-654,2,,210.581238,56.459492,0.147,-22.66,11.01,0.479,B
W3-655,0,,211.804489,56.48624,0.073,-21.12,10.28,0.378,B
W3-656,0,,211.183487,56.571766,0.09,-21.6,10.49,0.388,B
W3-659,1,,212.974289,56.03183,0.17,-22.77,11.1,0.519,B
W3-660,4,S,212.232697,56.039803,0.082,-20.94,10.43,0.57,R
W3-662,1,,212.34494,56.276474,0.12,-22.28,11.04,0.64,R
W3-663,0,,212.425522,56.449921,0.098,-21.77,10.54,0.372,B
W3-664,0,,212.425125,56.542023,0.164,-22.87,11.05,0.434,B
W3-665,0,,213.281692,56.532928,0.15,-22.49,11.11,0.629,R
W3-666,0,,212.313614,56.572281,0.122,-22.07,10.89,0.583,R
W3-668,0,,213.079651,56.808018,0.075,-21.28,10.28,0.32,B
W3-669,4,"S,L",212.828232,56.818035,0.138,-22.47,11.1,0.623,R
W3-670,0,,213.028046,56.835709,0.16,-23.0,11.22,0.541,R
W3-672,0,,214.699539,55.928799,0.151,-22.72,11.21,0.635,R
W3-673,0,,214.660584,55.919517,0.155,-22.49,11.11,0.628,R
W3-674,0,,214.08165,55.962498,0.152,-22.55,11.12,0.621,R
W3-675,0,,214.004364,56.003899,0.087,-21.53,10.48,0.412,B
W3-676,0,,214.658081,56.053642,0.12,-22.4,11.1,0.647,R
W3-677,0,,214.835632,56.102737,0.137,-23.13,11.15,0.44,B
W3-678,0,,214.889145,56.130386,0.085,-21.84,10.68,0.473,B
W3-679,0,,214.047745,56.141998,0.131,-22.17,10.88,0.537,R
W3-680,0,,213.751419,56.177952,0.087,-21.33,10.45,0.451,B
W3-682,0,,214.88884,56.290112,0.148,-22.73,11.15,0.575,R
W3-683,0,,214.285644,56.310581,0.152,-22.66,11.17,0.62,R
W3-684,3,A,215.268509,56.359219,0.118,-21.93,10.86,0.603,R
W3-685,0,,214.988236,56.391193,0.093,-21.85,10.85,0.622,R
W3-686,0,,214.296493,56.395828,0.139,-22.52,11.02,0.538,R
W3-688,0,,214.588898,56.48222,0.118,-22.15,10.91,0.567,R
W3-689,1,,215.253418,56.510746,0.09,-21.75,10.7,0.525,R
W3-690,0,,214.75412,56.515423,0.085,-21.0,10.4,0.53,R
W3-691,4,"A,M",214.466537,56.554977,0.071,-21.44,10.63,0.574,R
W3-692,3,A,215.130005,56.581638,0.067,-20.81,10.29,0.497,B
W3-693,3,A,215.06514,56.601692,0.124,-22.02,10.84,0.552,R
W3-694,0,,214.598724,56.617912,0.053,-19.94,9.96,0.512,R
W3-695,0,,214.298523,56.662456,0.102,-21.59,10.68,0.569,R
W3-696,0,,215.227264,56.814789,0.139,-22.63,10.91,0.402,B
W3-698,1,,216.109787,55.960014,0.113,-21.83,10.78,0.571,R
W3-699,4,H,216.529816,55.994091,0.12,-22.12,10.95,0.618,R
W3-700,0,,215.810791,56.049374,0.09,-21.63,10.58,0.459,B
W3-701,1,,215.558472,56.164738,0.18,-23.16,11.37,0.621,R
W3-702,0,,216.224899,56.15728,0.106,-21.47,10.33,0.3,B
W3-703,0,,216.147308,56.249447,0.184,-23.31,10.94,0.18,B
W3-704,0,,216.716431,56.414154,0.115,-21.77,10.66,0.483,B
W3-706,0,,215.71312,56.523972,0.113,-21.75,10.5,0.348,B
W3-708,2,,215.83461,56.688942,0.15,-22.48,11.12,0.642,R
W3-709,0,,216.85376,56.72559,0.15,-22.44,11.07,0.609,R
W3-710,0,,215.305298,56.716385,0.088,-21.4,10.48,0.461,B
W3-712,3,M,216.92688,55.908955,0.18,-22.98,11.3,0.626,R
W3-713,0,,217.849976,55.962254,0.16,-22.68,10.91,0.379,B
W3-714,0,,218.326538,56.001923,0.123,-22.14,10.64,0.337,B
W3-716,0,,217.678772,56.13427,0.072,-20.73,10.07,0.328,B
W3-717,3,M,217.095627,56.231556,0.18,-23.12,11.34,0.608,R
W3-718,0,,217.401672,56.260201,0.123,-22.24,10.8,0.444,B
W3-719,0,,217.558807,56.393723,0.12,-21.85,10.85,0.62,R
W3-720,0,,218.292633,56.446789,0.08,-21.6,10.42,0.334,B
W3-721,4,H,218.322647,56.457497,0.098,-21.6,10.66,0.543,R
W3-722,2,,218.27356,56.454361,0.067,-20.57,10.3,0.59,R
W3-723,4,"F,H",216.949448,56.550613,0.094,-21.61,10.75,0.621,R
W3-724,2,,218.330032,56.567432,0.07,-21.03,10.5,0.607,R
W3-725,0,,216.94014,56.570087,0.149,-22.42,11.06,0.609,R
W3-727,0,,216.926575,56.595989,0.147,-22.51,10.82,0.366,B
W3-728,0,,217.336578,56.600349,0.15,-22.85,11.23,0.612,R
W3-729,3,H,218.031906,56.618202,0.15,-22.83,11.23,0.612,R
W3-730,0,,217.152527,56.609116,0.153,-22.54,11.11,0.61,R
W3-731,0,,218.406113,56.629433,0.091,-21.64,10.76,0.62,R
W3-732,0,,217.798172,56.635506,0.098,-21.41,10.26,0.255,B
W3-733,1,,217.0439,56.663475,0.18,-23.1,11.35,0.626,R
W3-734,0,,217.337418,56.683056,0.15,-22.63,11.14,0.605,R
W3-736,0,,217.322952,56.729992,0.15,-22.84,11.23,0.607,R
W3-737,0,,218.031967,56.751259,0.119,-21.8,10.69,0.497,B
W3-742,0,,217.584915,56.799042,0.123,-21.94,10.49,0.268,B
W3-743,2,,216.934158,56.799492,0.129,-22.27,11.03,0.635,R
W3-745,2,,217.131683,56.83498,0.15,-22.58,11.14,0.622,R
W3-746,4,A,219.654816,55.996777,0.11,-21.9,10.6,0.383,B
W3-747,4,F,219.660889,56.000236,0.142,-22.43,10.84,0.41,B
W3-748,2,,218.616119,55.997444,0.053,-20.44,10.21,0.561,R
W3-749,4,A,219.067215,56.028618,0.118,-21.9,10.71,0.476,B
W3-750,1,,219.713516,55.999035,0.157,-22.91,11.06,0.431,B
W3-751,0,,218.868317,56.00592,0.114,-22.05,10.6,0.33,B
W3-752,0,,219.332153,56.009197,0.103,-21.48,10.31,0.276,B
W3-753,0,,219.840378,56.031444,0.09,-21.27,10.57,0.584,R
W3-755,0,,219.492538,56.109177,0.18,-22.87,11.22,0.594,R
W3-756,4,"A,M",219.853424,56.118454,0.15,-22.63,11.16,0.626,R
W3-757,4,A,219.845901,56.122925,0.121,-22.84,11.25,0.626,R
W3-758,0,,219.977158,56.219234,0.115,-21.83,10.54,0.353,B
W3-759,4,"S,M",219.021851,56.254871,0.043,-19.79,9.99,0.595,R
W3-760,0,,219.337143,56.386539,0.15,-22.77,11.18,0.588,R
W3-761,4,L,218.698807,56.42202,0.091,-21.5,10.68,0.602,R
W3-762,0,,218.986176,56.435924,0.09,-21.34,10.63,0.609,R
W3-763,0,,219.847931,56.491878,0.105,-21.97,10.71,0.458,B
W3-764,2,,219.550812,56.497955,0.143,-22.46,10.95,0.497,B
W3-765,2,,219.590653,56.515137,0.12,-22.16,10.84,0.504,B
W3-766,4,S,220.072372,56.5844,0.121,-22.14,10.97,0.626,R
W3-767,2,,219.085083,56.594688,0.112,-21.64,10.62,0.493,B
W3-768,1,,218.75618,56.628857,0.101,-22.18,10.81,0.47,B
W3-769,0,,218.784302,56.658211,0.099,-21.42,10.51,0.47,B
W3-770,0,,219.757355,56.748199,0.18,-23.42,11.48,0.628,R
W3-773,0,,219.904556,56.840286,0.09,-21.37,10.65,0.623,R
W3-774,0,,209.539948,56.869362,0.062,-20.63,10.33,0.6,R
W3-775,0,,208.991562,56.884029,0.118,-21.73,10.37,0.235,B
W3-776,0,,208.783035,56.894363,0.06,-20.56,10.36,0.65,R
W3-777,0,,210.242432,56.976021,0.092,-21.87,10.84,0.607,R
W3-780,1,,209.932266,57.126465,0.083,-21.39,10.56,0.536,R
W3-781,0,,209.666199,57.156979,0.148,-22.38,11.02,0.583,R
W3-783,0,,209.068146,57.380859,0.152,-22.53,11.14,0.646,R
W3-784,0,,210.201584,57.511112,0.15,-22.55,11.12,0.617,R
W3-785,0,,209.112412,57.512756,0.084,-21.42,10.66,0.61,R
W3-786,0,,208.690842,57.556175,0.093,-21.59,10.46,0.371,B
W3-787,0,,210.047195,57.640346,0.124,-22.43,11.09,0.627,R
W3-788,1,,210.170654,57.664898,0.14,-22.8,11.02,0.438,B
W3-789,0,,209.080978,57.709969,0.18,-22.9,11.25,0.606,R
W3-791,0,,210.780258,57.065758,0.13,-21.99,10.71,0.444,B
W3-792,0,,210.629623,57.09354,0.078,-21.44,10.64,0.581,R
W3-793,1,,211.104095,57.118259,0.153,-23.04,11.32,0.618,R
W3-794,0,,211.904373,57.227856,0.125,-22.17,10.7,0.377,B
W3-795,0,,211.849747,57.411072,0.091,-21.33,10.2,0.225,B
W3-797,0,,211.478439,57.549408,0.086,-21.28,10.2,0.246,B
W3-798,0,,211.546204,57.589668,0.088,-21.12,10.51,0.581,R
W3-800,0,,211.546249,57.619793,0.068,-20.55,10.0,0.333,B
W3-801,1,,210.602402,57.656265,0.128,-22.0,10.66,0.397,B
W3-802,0,,210.611969,57.66148,0.18,-23.29,11.42,0.616,R
W3-803,0,,210.684494,57.71479,0.14,-22.38,10.96,0.529,B
W3-805,4,S,212.316834,56.859882,0.15,-22.71,11.2,0.625,R
W3-807,0,,212.169556,56.905048,0.18,-23.25,11.39,0.603,R
W3-808,0,,212.281433,56.940502,0.132,-22.26,10.98,0.595,R
W3-809,1,,212.11908,56.946087,0.15,-22.55,11.1,0.601,R
W3-810,0,,212.256744,56.98003,0.155,-22.98,11.07,0.421,B
W3-811,0,,212.578171,57.01767,0.121,-22.22,11.08,0.7,R
W3-812,0,,212.510757,57.019852,0.18,-22.99,11.27,0.594,R
W3-813,0,,212.269653,57.03743,0.112,-21.86,10.5,0.306,B
W3-814,0,,212.885895,57.068798,0.128,-22.03,10.91,0.61,R
W3-815,2,,212.095871,57.147739,0.102,-21.77,10.59,0.421,B
W3-816,4,M,213.139252,57.179367,0.15,-22.5,11.07,0.591,R
W3-817,0,,212.920578,57.198368,0.15,-23.0,11.24,0.561,R
W3-818,0,,212.458023,57.22504,0.069,-20.8,10.06,0.298,B
W3-819,0,,213.491364,57.238537,0.121,-22.01,10.74,0.464,B
W3-820,0,,213.526031,57.333084,0.134,-22.16,10.92,0.574,R
W3-821,0,,213.014008,57.363293,0.124,-22.4,10.88,0.452,B
W3-822,0,,212.613205,57.36607,0.12,-22.19,10.92,0.567,R
W3-823,0,,213.576584,57.377564,0.099,-21.48,10.46,0.412,B
W3-824,0,,212.130005,57.406738,0.102,-21.94,10.84,0.58,R
W3-825,1,,212.758179,57.428154,0.15,-22.5,11.09,0.61,R
W3-826,0,,212.314529,57.446087,0.095,-21.46,10.61,0.548,R
W3-827,2,,212.966934,57.460319,0.179,-23.38,11.41,0.583,R
W3-828,4,S,213.367996,57.476372,0.085,-21.01,10.37,0.496,B
W3-829,0,,212.964462,57.488709,0.15,-22.8,11.2,0.599,R
W3-830,0,,213.34552,57.518585,0.174,-22.94,11.26,0.602,R
W3-831,0,,212.824158,57.520996,0.13,-22.04,10.78,0.49,B
W3-832,4,M,213.586731,57.546841,0.15,-22.79,11.22,0.619,R
W3-833,0,,213.546829,57.544617,0.12,-21.98,10.89,0.61,R
W3-834,0,,213.604874,57.630859,0.13,-22.69,10.91,0.381,B
W3-835,2,,212.070816,57.652313,0.151,-22.5,11.11,0.624,R
W3-837,0,,212.748459,57.691952,0.096,-21.59,10.7,0.581,R
W3-838,0,,212.352661,57.716354,0.107,-21.81,10.64,0.45,B
W3-839,0,,212.743149,57.759705,0.18,-23.07,11.33,0.617,R
W3-840,1,,212.720154,57.768215,0.18,-23.47,11.52,0.645,R
W3-841,1,,212.4646,57.796677,0.15,-22.96,11.3,0.629,R
W3-842,3,A,215.197632,56.852032,0.15,-23.01,11.31,0.616,R
W3-843,0,,215.117325,56.857895,0.067,-20.5,10.21,0.533,R
W3-844,0,,215.214371,56.872746,0.074,-20.78,10.25,0.468,B
W3-846,3,M,213.734436,56.902283,0.18,-22.86,11.22,0.594,R
W3-849,0,,215.118744,57.017494,0.09,-21.16,10.45,0.518,R
W3-850,0,,214.20433,57.047108,0.15,-22.51,11.09,0.597,R
W3-851,0,,213.661041,57.198566,0.15,-22.55,11.12,0.617,R
W3-852,0,,214.466675,57.235199,0.1,-21.89,10.79,0.553,R
W3-853,0,,214.270615,57.254372,0.067,-20.98,10.42,0.553,R
W3-855,0,,214.327591,57.362904,0.056,-20.41,10.05,0.422,B
W3-856,0,,214.210739,57.393139,0.129,-22.49,10.89,0.428,B
W3-857,1,,214.539276,57.5186,0.098,-21.66,10.69,0.546,R
W3-858,0,,214.464539,57.531799,0.15,-22.9,11.21,0.574,R
W3-860,0,,213.864471,57.609169,0.118,-22.46,10.84,0.399,B
W3-861,0,,213.954086,57.662121,0.126,-22.66,10.93,0.404,B
W3-866,0,,215.365021,57.005806,0.125,-22.47,10.98,0.515,B
W3-867,0,,216.624939,57.024589,0.087,-21.02,10.21,0.354,B
W3-868,4,L,216.099915,57.029461,0.102,-21.46,10.24,0.219,B
W3-869,0,,216.254379,57.065247,0.121,-21.91,10.85,0.601,R
W3-872,4,A,216.79985,57.14045,0.099,-21.7,10.35,0.233,B
W3-873,4,A,216.820038,57.143543,0.095,-21.31,10.03,0.085,B
W3-874,2,,215.753754,57.178761,0.097,-21.4,10.44,0.424,B
W3-875,0,,215.837585,57.231533,0.13,-22.06,10.66,0.379,B
W3-876,0,,216.839279,57.206802,0.127,-22.03,10.63,0.364,B
W3-877,0,,216.341614,57.265285,0.127,-22.45,10.86,0.421,B
W3-878,0,,216.529862,57.289738,0.09,-21.72,10.8,0.625,R
W3-879,0,,215.591431,57.299217,0.121,-22.16,10.72,0.399,B
W3-880,0,,215.376602,57.295055,0.073,-21.0,10.46,0.577,R
W3-881,4,F,216.95227,57.63028,0.121,-21.86,10.85,0.621,R
W3-886,0,,217.328995,56.873768,0.117,-21.93,10.82,0.57,R
W3-887,0,,217.512787,56.904774,0.18,-23.02,11.29,0.597,R
W3-889,2,,217.637878,56.925568,0.18,-23.18,11.36,0.602,R
W3-890,0,,218.177978,56.964821,0.092,-21.5,10.68,0.593,R
W3-891,0,,217.117416,56.98827,0.14,-22.28,10.99,0.598,R
W3-892,1,,216.981613,57.009777,0.161,-23.01,11.29,0.602,R
W3-893,3,A,218.316864,57.014088,0.18,-23.35,11.42,0.595,R
W3-894,0,,217.003388,57.012856,0.157,-22.97,11.3,0.631,R
W3-895,0,,218.05928,57.140106,0.183,-22.78,10.59,0.057,B
W3-896,0,,218.260208,57.216923,0.105,-21.65,10.59,0.467,B
W3-897,3,A,217.07663,57.228882,0.129,-22.11,10.5,0.218,B
W3-898,0,,217.817062,57.279854,0.151,-22.35,10.52,0.152,B
W3-899,0,,217.817184,57.344814,0.15,-22.48,11.08,0.6,R
W3-900,0,,217.765915,57.341679,0.097,-21.64,10.65,0.521,R
W3-901,0,,217.781281,57.350887,0.15,-22.72,11.17,0.6,R
W3-902,1,,217.740753,57.373817,0.114,-21.9,10.81,0.568,R
W3-903,0,,218.434753,57.40736,0.071,-20.62,10.08,0.375,B
W3-904,0,,218.383194,57.408386,0.183,-22.95,11.02,0.386,B
W3-905,4,"A,L",217.796539,57.438427,0.102,-22.07,10.83,0.53,R
W3-906,0,,218.51796,57.420505,0.15,-22.6,11.15,0.624,R
W3-907,4,,217.814926,57.437256,0.126,-22.05,10.88,0.583,R
W3-908,0,,217.854416,57.469807,0.077,-21.0,10.33,0.461,B
W3-909,3,M,218.54361,57.459923,0.175,-23.17,11.35,0.6,R
W3-910,4,L,218.565414,57.471237,0.159,-22.65,11.15,0.603,R
W3-911,0,,218.466888,57.494324,0.121,-22.28,10.95,0.56,R
W3-912,0,,218.329498,57.510162,0.152,-22.84,11.22,0.603,R
W3-914,0,,217.852417,57.634521,0.093,-21.59,10.65,0.54,R
